Ocurrències	Occitan	Morfologia oci	Francés	Morfologia fra (si diferent d’oci)	Comentaris 
72	Manchester	<np><top>			
72	hemna	<n><f>			
72	gitano	<n><m>			
72	estonament	<n><m>			
72	de besonh	<adj>			
71	hons	<n><m>			
71	en mai d'aquò	<adv>			
71	demanar	<vblex>			
71	bolegar	<vblex>			
71	bèl	<n><m>			
71	anonci	<n><m>			
70	Per çò qu'es de	<pr>			
70	Cort suprèma	<n><f>			
70	aver# de	<vbmod><pii>			
70	aver# de	<vbmod><ifi>			
70	Àlex	<np><ant>			
69	manòbra	<n><mf>			
69	conselhèr	<n><m>			
68	sòrt	<n><m>			
67	V	<adj>			
67	tresau	<adj>			
67	Queensland	<np><top>			
67	mos	<prn><pro>			
67	mainat	<n><m>			
67	arreconéisher	<vblex>			
67	Archiu	<n><m>			
66	víuer	<vblex>			
66	rénder	<vblex>			
66	prèire	<n><m>			
66	finau	<adj>			
66	atge	<n><f>			
66	30%	<num><percent>			
65	San	<np><al>			
65	minim	<adj>			
65	madeish	<adj>			
65	consens	<n><m>			
65	ADN	<n><m>			
64	Wikipèdia	<np><al>			
64	Pr'amor	<cnjadv>			
64	partenari	<n><m>			
64	elèit	<n><m>			
63	Tv3	<np><al>			
63	quèrre	<adj>			
63	naturau	<adj>			
63	los Pirenèus	<np><top>			
63	convier	<vblex>			
63	compreneson	<n><f>			
63	compdar	<vblex>			
63	colpable	<adj>			
63	aquerò	<prn><tn>			
62	signatari	<adj>			
62	reculhir	<vblex>			
62	prèvi	<adj>			
62	Òmnium	<np><al>			
62	lector	<adj>			
62	en luòc de	<pr>			
62	correspondre# a	<vblex>			
62	50%	<num><percent>			
61	porgir	<vblex>			
61	mau	<adv>			
61	luenh	<adv>			
61	Lluís	<np><ant>			
61	Entà	<pr>			
61	devier	<vblex>			
61	cooficialitat	<n><f>			
60	Qualqu'un	<det><ind>			
60	Naut Aran	<np><top>			
60	maxim	<adj>			
60	identitari	<adj>			
60	fin	<n><m>			
60	eth nòste	<det><pos>			
60	dètz	<adj>			
60	dessenhaire	<adj>			
60	desacòrdi	<n><m>			
60	Catalunya	<np><top>			
60	cada còp	<adv>			
60	auer# de besonh	<vblex>			
59	un	<n><m>			
59	sèt	<adj>			
59	sentit	<n><m>			
59	Lorena	<np><ant>			
59	gent	<n><f>			
59	Euroregion	<np><top>			
59	enquestar	<vblex>			
59	Donetzk	<np><top>			
59	d'en primièr	<adv>			
59	CDC	<n><acr>			
59	Aguest	<prn><tn>			
58	temporada	<n><f>			
58	tardor	<n><f>			
58	investidura	<n><f>			
57	Venèt	<np><top>			
57	termièra	<n><f>			
57	seteme	<n><m>			
57	Polinesia	<np><top>			
57	Entrar	<vblex>			
57	desempuèi	<adv>			
57	còder	<vblex>			
56	Vivarés	<np><top>			
56	rebàter	<vblex>			
56	Novèl	<adj>			
56	Ajuntament	<n><m>			
56	AC	<prn><pro>			
56	40%	<num><percent>			
55	voler	<vbmod><fti>			
55	socialdemocrata	<adj>			
55	Quant	<adj>			
55	obrador	<n><m>			
55	l	<n><f>			
55	lai	<prn><pro>			
55	fraudar	<vblex>			
55	Fèlix	<np><ant>			
55	dever	<vbmod><inf>			
55	dançaire	<adj>			
55	cardinal	<adj>			
55	al bòrd de	<pr>			
54	ta	<det><pos>			
54	Sahara Occidental	<np><top>			
54	que	<adv><enon>			
54	esperital	<adj>			
54	dempús de	<pr>			
54	al mitan	<adv>			
53	voler	<vbmod><prs>			
53	Ne	<cnjcoo>			
53	masclista	<adj>			
53	haut	<adj>			
53	auto	<n><m>			
53	Arnaldo	<np><ant>			
52	Veir	<vblex>			
52	Uei	<adv>			
52	sonhar	<vblex>			
52	rurau	<adj>			
52	prométer	<vblex>			
52	per ieu	<adv>			
52	No	<adv>			
52	multinacional	<adj>			
52	Mistral	<n><m>			
52	èsser# d'acòrdi	<vbser>			
52	enter	<pr>			
52	dubèrt	<adj>			
52	Ath delà	<adv>			
52	80%	<num><percent>			
51	Vilamòs	<np><top>			
51	Velai	<np><top>			
51	t	<n><f>			
51	sauvar	<vblex>			
51	Principat de Catalonha	<np><top>			
50	N	<n><f>			
50	Medan	<np><ant>			
50	hicar	<vblex>			
50	Es a dire	<adv>			
50	Diable	<n><m>			
50	Alèp	<np><top>			
50	60%	<num><percent>			
50	5%	<num><percent>			
49	vertadèr	<adj>			
49	susprene	<vblex>			
49	Gibartar	<np><top>			
49	Friol	<np><top>			
49	dreta	<n><f>			
49	constituïr	<vblex>			
49	compréner	<vblex>			
49	còlha	<n><f>			
49	bonet	<n><m>			
49	auvernhat	<adj>			
48	terçon	<n><m>			
48	méter# en evidéncia	<vblex>			
48	Jèp	<np><ant>			
48	ETA	<n><acr>			
48	canari	<adj>			
48	Arrir	<vblex>			
48	arren	<prn><tn>			
48	aprofiechar	<vblex>			
47	rebaissar	<vblex>			
47	quòta	<n><f>			
47	prevenir	<vblex>			
47	nomentar	<vblex>			
47	manèra	<n><f>			
47	far# possible	<vblex>			
47	diable	<n><m>			
47	de pas	<adv>			
47	De còps	<adv>			
46	Ròi	<adj>			
46	rambalh	<n><m>			
46	passacarrièra	<n><f>			
46	Malgrat que	<cnjadv>			
46	constar	<vblex>			
46	companh	<n><f>			
46	Calendas	<n><f>			
46	baish	<adv>			
46	aver# de	<vbmod><cni>			
46	Aprene	<vblex>			
46	a comptar de	<pr>			
46	2%	<num><percent>			
45	Renat	<np><ant>			
45	quau	<prn><itg>			
45	prene# part	<vblex>			
45	pair	<n><m>			
45	gaire	<adj>			
45	Esquèrre	<adj>			
45	CE	<detnt>			
45	CDA	<n><acr>			
45	bilingüisme	<n><m>			
44	sobrar	<vblex>			
44	relat	<n><m>			
44	purmèr	<adj>			
44	notícia	<n><f>			
44	Mossos d'esquadra	<n><m>			
44	grand causa	<n><f>			
44	Esperar# que	<vblex>			
44	Bagdad	<np><top>			
44	Aué	<adv>			
44	ancessor	<n><m>			
43	taulejada	<n><f>			
43	talhèr	<n><m>			
43	r	<n><f>			
43	mercés	<ij>			
43	Lampedosa	<np><top>			
43	Hèsta	<n><f>			
43	dotze	<adj>			
43	dins de condicions	<adv>			
43	cm	<n><m>			
43	acuélher	<vblex>			
43	Abans de	<pr>			
43	70%	<num><percent>			
42	Val d'Aosta	<np><top>			
42	telefonada	<n><f>			
42	simpatizant	<adj>			
42	senon	<adv>			
42	guardar	<vblex>			
42	en generau	<adv>			
42	deplorar	<vblex>			
42	dejà	<adv>			
42	Cap de	<det><ind>			
42	ací	<adv>			
41	Quate	<num><mf>			
41	potent	<adj>			
41	municipi	<n><m>			
41	intervier	<vblex>			
41	Garòs	<np><top>			
41	enquia	<pr>			
41	arturar	<vblex>			
41	anti	<adj>			
41	25%	<num><percent>			
40	Vila	<np><top>			
40	tira	<n><f>			
40	mòure	<vblex>			
40	com	<pr>/comme<pr>$			
40	Carme	<np><ant>			
40	avant	<adv>			
40	75%	<num><percent>			
39	Rot	<adj>			
39	Proteccion	<n><f>			
39	Post	<adj>			
39	Junt	<adj>			
39	huec	<n><m>			
39	EUIA	<n><acr>			
39	esquèrre	<adj>			
39	al darrièr	<adv>			
39	90%	<num><percent>			
39	1%	<num><percent>			
38	US	<n><m>			
38	territoriau	<adj>			
38	sovenir	<vblex>			
38	Qui	<prn><itg>			
38	pregond	<adj>			
38	Polícia	<n><mf>			
38	Pascal	<np><al>			
38	mamifèr	<adj>			
38	imam	<n><m>			
38	hestejar	<vblex>			
38	funeralhas	<n><f>			
38	frucha	<n><f>			
38	cent	<adj>			
38	adieu	<ij>			
37	Ros	<np><al>			
37	prèviament	<adv>			
37	mair	<n><f>			
37	lor	<adj>			
37	fisician	<adj>			
37	feda	<n><f>			
37	Dos	<adj>			
37	d'aicí a	<pr>			
37	candela	<n><f>			
37	Borrèu	<n><m>			
37	Balcans	<np><top>			
37	auçar	<vblex>			
37	arrevirar	<vblex>			
37	açò	<prn><tn>			
37	abitança	<n><f>			
37	100%	<num><percent>			
36	Reunion	<n><f>			
36	Quan	<adv><itg>			
36	provesiment	<n><m>			
36	pròpi	<adj>			
36	petar	<vblex>			
36	Òslo	<np><top>			
36	Music	<n><f>			
36	mercar	<vblex>			
36	menut	<adj>			
36	egalament	<adv>			
36	dempús	<adv>			
36	Cisjordania	<np><top>			
36	Chequia	<np><top>			
36	cens	<n><m>			
36	carrèra	<n><f>			
36	baish	<adj>			
36	agropar	<vblex>			
36	21%	<num><percent>			
35	televisiu	<adj>			
35	taure	<n><m>			
35	recuélher	<vblex>			
35	ONU	<n><acr>			
35	en cò	<adv>			
35	eméter	<vblex>			
35	diuèrs	<adj>			
35	deféner	<vblex>			
35	d'ara enlà	<adv>			
35	Bíblia	<n><f>			
35	Bausen	<np><top>			
35	arriu	<n><m>			
35	3%	<num><percent>			
34	transméter	<vblex>			
34	Sud Tiròl	<np><top>			
34	Salardú	<np><top>			
34	sabor	<n><m>			
34	mal	<adj>			
34	jutge	<n><f>			
34	Humar	<vblex>			
34	Haut	<adj>			
34	escobilha	<n><f>			
34	domèni	<n><m>			
34	dins lo cas de	<pr>			
34	dificultar	<vblex>			
34	be	<adv><enon>			
34	agredir	<vblex>			
34	abitatge	<n><m>			
33	Washington Post	<np><al>			
33	uèit	<adj>			
33	uèch	<adj>			
33	tota mena de	<pr>			
33	serar	<vblex>			
33	Reclam	<n><m>			
33	originau	<adj>			
33	OMS	<n><acr>			
33	natiu	<adj>			
33	metre# a jorn	<vblex>			
33	image	<n><f>			
33	dijaus	<n><m>			
33	D'en primièr	<adv>			
33	catar	<vblex>			
33	Canigó	<np><top>			
33	Australia	<np><top>			
33	animau	<adj>			
33	a la glèisa	<adv>			
33	A la fin	<adv>			
32	Vicent	<np><ant>			
32	Vath	<n><f>			
32	tuador	<n><m>			
32	sénter	<vblex>			
32	reproduire	<vblex>			
32	missa	<n><f>			
32	Manèl	<np><ant>			
32	Lorient	<np><top>			
32	Lèsbos	<np><loc>			
32	inscríuer	<vblex>			
32	Eulàlia	<np><ant>			
32	en cò sieu	<adv>			
32	devath	<adv>			
32	d'entrada	<adv>			
32	Damasc	<np><top>			
32	companhia	<n><f>			
32	colar	<vblex>			
32	calandreta	<n><f>			
32	auer# de	<vbmod><prs>			
32	arrir	<vblex>			
32	aninòs	<n><m>			
32	andicapat	<adj>			
32	acontentar	<vblex>			
32	35%	<num><percent>			
31	véner	<vblex>			
31	Sostier	<vblex>			
31	Shetland	<np><top>			
31	segontes	<pr>			
31	Sant Sebastian	<np><top>			
31	Rems	<np><top>			
31	Quauque	<det><ind>			
31	maltractament	<n><m>			
31	Eth	<prn><tn>			
31	defugir	<vblex>			
31	creir	<vblex>			
31	CNN	<n><acr>			
31	clam	<n><m>			
31	centresquèrra	<n><f>			
31	carrèr	<n><m>			
31	Canejan	<np><top>			
31	boicotar	<vblex>			
31	beròi	<adj>			
30	uelh	<n><m>			
30	Roazhon	<np><top>			
30	quatau	<adj>			
30	Non pas	<adv>			
30	miaçar	<vblex>			
30	malèsser	<n><m>			
30	judicial	<adj>			
30	Granar	<vblex>			
30	gelar	<vblex>			
30	finalista	<adj>			
30	far# un omenatge	<vblex>			
30	èsser# pas d'acòrdi	<vbser>			
30	CIU	<n><acr>			
30	centredrecha	<n><f>			
30	arténher	<vblex>			
30	8%	<num><percent>			
29	volontàriament	<adv>			
29	USA	<np><top>			
29	titolar	<vblex>			
29	São Paulo	<np><top>			
29	Salvador	<adj>			
29	Raül	<np><ant>			
29	quaranta	<adj>			
29	pancarta	<n><f>			
29	optimista	<adj>			
29	nautada	<n><f>			
29	minjar	<vblex>			
29	Magne	<adj>			
29	Luhansk	<np><top>			
29	licenciar	<vblex>			
29	fiulet	<n><m>			
29	esmovent	<adj>			
29	enterpresa	<n><f>			
29	dins la majoritat de	<pr>			
29	desproporcionat	<adj>			
29	conselhèr	<n><f>			
29	çai	<prn><pro>			
29	al mercat	<adv>			
29	Adieu	<ij>			
29	12%	<num><percent>			
28	vint	<adj>			
28	tostemp	<adv>			
28	sosta	<n><f>			
28	Silvan	<np><ant>			
28	promòir	<vblex>			
28	per çò qu'es de	<pr>			
28	percaça	<n><f>			
28	Nòva Galas del Sud	<np><top>			
28	Mas tanben	<cnjcoo>			
28	Leon	<np><top>			
28	gésser	<vblex>			
28	en cò nòstre	<adv>			
28	candidat# per	<n><m>			
28	but	<n><m>			
28	barbariá	<n><f>			
28	4%	<num><percent>			
28	15%	<num><percent>			
27	sòs	<n><m>			
27	Remembrar	<vblex>			
27	reconéisher	<vblex>			
27	poblacion	<n><f>			
27	Pampalona	<np><top>			
27	mèr	<adj>			
27	mandadís	<n><m>			
27	jamès	<adv>			
27	instar	<vblex>			
27	*fr/*fr$				
27	extrach	<n><m>			
27	ex	<adj>			
27	entreténer	<vblex>			
27	donques	<cnjadv>			
27	Dins lo cas de	<pr>			
27	desconéisser	<vblex>			
27	dehòra	<adv>			
27	comarca	<n><f>			
27	Cariba	<np><top>			
27	aufrir	<vblex>			
27	ath delà	<adv>			
27	arrecéber	<vblex>			
27	Alexàndria	<np><top>			
27	al cors de	<pr>			
27	adméter	<vblex>			
27	academician	<adj>			
26	vòstre	<adj>			
26	Vaquèira	<np><top>			
26	Tres	<adj>			
26	tota sòrta de	<pr>			
26	tampat	<adj>			
26	sociolingüistic	<adj>			
26	ras	<adv>			
26	prèp	<adj>			
26	materiau	<adj>			
26	engenhar	<vblex>			
26	deuant	<adv>			
26	cercador	<n><m>			
26	Aurelian	<np><ant>			
26	a maugrat	<pr>			
25	Voler	<vbmod><pii>			
25	un autre còp	<adv>			
25	Tomboctó	<np><top>			
25	tànher	<vblex>			
25	Segontes	<pr>			
25	salut	<n><f>			
25	Rovira	<np><al>			
25	rebatre	<vblex>			
25	Quora	<adv>			
25	Occitanocatalan	<adj>			
25	Minim	<adj>			
25	mielhor	<adj>			
25	Mercés	<ij>			
25	Lau	<n><m>			
25	L	<adj>			
25	Jon	<np><ant>			
25	iuèrn	<n><m>			
25	info@jor	<num>			
25	hereuèr	<n><m>			
25	g	<n><f>			
25	fin finau	<adv>			
25	Feròe	<np><top>			
25	estatge	<n><m>			
25	escadença	<n><f>			
25	environar	<vblex>			
25	denegar	<vblex>			
25	créisher	<vblex>			
25	colorar	<vblex>			
25	CDU	<n><acr>			
25	béuer	<vblex>			
25	Aver# de	<vbmod><pri>			
25	Antartida	<np><top>			
25	amiar# a tèrme	<vblex>			
25	Afrairament	<n><m>			
25	18%	<num><percent>			
24	ultimatum	<n><m>			
24	Trentin	<np><top>			
24	trèir	<vblex>			
24	totau	<adj>			
24	sens dobte	<adv>			
24	segons	<pr>			
24	Sant Martin	<np><al>			
24	previer	<vblex>			
24	PNB	<n><acr>			
24	Plan de	<adv>			
24	On	<adv><itg>			
24	navigador	<n><m>			
24	miting	<n><m>			
24	Mercé	<ij>			
24	massacre	<n><f>			
24	Magrèb	<np><top>			
24	hilat	<n><m>			
24	ha	<n><f>			
24	diminucion	<n><f>			
24	devolucion	<n><f>			
24	desparéisser	<vblex>			
24	desbordar	<vblex>			
24	Com	<adv><itg>			
24	cessament	<n><m>			
24	Avier	<vblex>			
24	aver# pas res a veire	<vblex>			
24	atribuïr	<vblex>			
24	ath delà de	<pr>			
24	atèu	<adj>			
24	Artús	<np><ant>			
24	Amborg	<np><top>			
24	agafar	<vblex>			
24	acampada	<n><f>			
24	45%	<num><percent>			
23	Vier	<vblex>			
23	Ventemilha	<np><top>			
23	vath	<n><f>			
23	Transnístria	<np><top>			
23	traïr	<vblex>			
23	telefon	<n><m>			
23	Tà	<pr>			
23	sens relambi	<pr>			
23	reconeishença	<n><f>			
23	Òsca	<np><top>			
23	Montréal	<np><top>			
23	mai lèu	<adv>			
23	f	<n><f>			
23	Fin finau	<adv>			
23	Domergue	<np><ant>			
23	Disney	<np><al>			
23	Dever	<vbmod><pri>			
23	Despuèi	<adv>			
23	conde	<n><m>			
23	Coca-cola	<np><al>			
23	cargue	<n><m>			
23	bon mercat	<adj>			
23	auançar	<vblex>			
22	z	<n><f>			
22	vegada	<n><f>			
22	Sr	<n><m>			
22	Rénder	<vblex>			
22	quèir	<vblex>			
22	Prim	<adj>			
22	praube	<adj>			
22	pastèl	<adj>			
22	Núria	<np><ant>			
22	non sonque	<adv>			
22	nomada	<adj>			
22	monge	<n><f>			
22	migrar	<vblex>			
22	M	<adj>			
22	jo	<n><m>			
22	Iñaki	<np><ant>			
22	Honduras	<np><top>			
22	gèr	<n><m>			
22	estand	<n><m>			
22	èsser# davant	<vbser>			
22	escàs	<adj>			
22	entà que	<cnjadv>			
22	desbarcar	<vblex>			
22	De hèt	<adv>			
22	Culturau	<adj>			
22	costum	<n><f>			
22	contribuïr	<vblex>			
22	construire	<vblex>			
22	Compostèla	<np><top>			
22	Chechenia	<np><top>			
22	Centreafrica	<np><top>			
22	Cauma	<n><f>			
